CLAVE,irs_value,i_sdsalud,irs_wave
1001,-1.558484,22.39257,2010
1002,-1.014475,13.76945,2010
1003,-1.101936,17.11061,2010
1004,-1.133137,13.90772,2010
1005,-1.296495,22.33256,2010
1006,-1.343856,18.90497,2010
1007,-1.255189,19.50118,2010
1008,-1.097275,9.53453,2010
1009,-1.037171,15.4515,2010
1010,-0.8853644,17.4368,2010
1011,-1.302303,18.55797,2010
2001,-1.061772,23.60298,2010
2002,-1.547936,23.13471,2010
2003,-1.233523,23.10272,2010
2004,-1.345596,34.08199,2010
2005,-1.093959,29.91463,2010
3001,-1.03934,18.18657,2010
3002,-0.7908415,16.94353,2010
3003,-1.46272,21.57295,2010
3008,-1.029025,26.85933,2010
3009,-0.8327873,23.16884,2010
4001,-0.4450817,18.28323,2010
4002,-1.384081,20.02239,2010
4003,-1.067584,24.27655,2010
4004,-0.4978529,22.95684,2010
4005,-0.3468447,26.47495,2010
4006,-0.0523944,20.43836,2010
4007,-0.3371669,12.09291,2010
4008,-0.2731189,16.65982,2010
4009,-0.5007287,22.12092,2010
4010,0.5372997,32.06607,2010
4011,0.4310462,23.01306,2010
5001,-1.172774,37.28972,2010
5002,-1.367118,22.60685,2010
5003,-1.507024,14.18743,2010
5004,-0.8738998,27.88325,2010
5005,-0.9938564,20.51991,2010
5006,-1.338217,17.66183,2010
5007,-0.9100652,15.75348,2010
5008,-0.9811737,28.57635,2010
5009,-1.213756,21.66283,2010
5010,-1.561389,16.60573,2010
5011,-0.7181096,27.55521,2010
5012,-0.7685153,26.73362,2010
5013,-0.8571874,44.81641,2010
5014,-0.5206411,26.61299,2010
5015,-1.039231,31.01939,2010
5016,-1.342775,16.40327,2010
5017,-1.183553,27.12113,2010
5018,-1.688821,15.96302,2010
5019,-1.469777,15.16998,2010
5020,-1.329868,15.30658,2010
5021,-1.289954,22.19416,2010
5022,-1.355978,16.65354,2010
5023,-0.5610666,25.77564,2010
5024,-1.142707,18.3366,2010
5025,-1.519355,20.95926,2010
5026,-0.971195,20.81774,2010
5027,-1.461196,17.49381,2010
5028,-1.580332,18.93438,2010
5029,-1.211226,19.879,2010
5030,-1.654693,20.99685,2010
5031,-1.569874,20.60138,2010
5032,-1.570386,12.9679,2010
5033,-1.052503,26.98295,2010
5034,-1.07769,17.19216,2010
5035,-1.577513,26.60292,2010
5036,-0.7190295,30.04362,2010
5037,-1.210634,15.72587,2010
5038,-1.14666,20.19367,2010
6001,-0.6753148,16.31992,2010
6002,-1.502904,16.15205,2010
6003,-0.9174313,18.94868,2010
6004,-0.9752942,16.29095,2010
6005,-1.352617,12.80481,2010
6006,-0.7330224,8.88679,2010
6007,-1.333217,18.43638,2010
6008,-1.055339,9.00416,2010
6009,-0.6744189,21.71194,2010
6010,-1.684003,15.28561,2010
7001,0.1421298,37.79588,2010
7002,0.0275009,30.04802,2010
7003,0.4108607,47.92966,2010
7004,1.3076,64.29265,2010
7005,1.130126,38.50999,2010
7006,0.4066431,36.31164,2010
7007,2.13842,81.4505,2010
7008,0.4258927,54.78444,2010
7009,-0.3958357,38.55701,2010
7010,0.7598805,25.18694,2010
7011,0.3753664,38.52497,2010
7012,0.7156144,48.35452,2010
7013,0.5161856,56.94472,2010
7014,1.0844,46.87752,2010
7015,-0.1081254,50.54666,2010
7016,-0.3050385,31.02684,2010
7017,-0.0426104,46.62417,2010
7018,0.4890884,35.61108,2010
7019,-0.1906053,43.29459,2010
7020,0.4333331,33.96171,2010
7021,0.0589623,29.80998,2010
7022,3.092017,48.371,2010
7023,2.373615,55.15525,2010
7024,1.689457,15.06887,2010
7025,0.726593,20.69013,2010
7026,2.165835,31.38379,2010
7027,-0.2999173,43.33527,2010
7028,0.0052891,27.54857,2010
7029,-0.374355,41.86927,2010
7030,0.4833995,49.10995,2010
7031,1.918002,35.44382,2010
7032,0.2961247,39.37741,2010
7033,0.6414175,16.18571,2010
7034,-0.0620527,55.0588,2010
7035,0.0680886,42.6214,2010
7036,0.5839722,32.12321,2010
7037,0.4844055,45.07236,2010
7038,1.799909,18.11038,2010
7039,1.180743,31.74033,2010
7040,-0.1180254,46.00557,2010
7041,1.038097,70.98095,2010
7042,0.4262429,22.90263,2010
7043,0.0369326,20.21423,2010
7044,0.5443491,40.62079,2010
7045,0.6369096,18.45564,2010
7046,-0.1186865,35.16844,2010
7047,0.5948453,61.01804,2010
7048,-0.1525747,37.05179,2010
7049,1.549526,39.52528,2010
7050,-0.2112446,20.86852,2010
7051,0.0422962,43.94371,2010
7052,1.45624,40.91888,2010
7053,0.4078072,34.23585,2010
7054,0.3393534,35.81455,2010
7055,-0.20723,36.04212,2010
7056,2.510218,25.81339,2010
7057,0.2076346,40.125,2010
7058,0.5337512,48.27426,2010
7059,1.209336,51.5932,2010
7060,1.343869,29.45782,2010
7061,0.3610656,50.73179,2010
7062,0.5572357,33.52669,2010
7063,-0.5273903,26.66139,2010
7064,1.869646,46.29758,2010
7065,0.3730306,51.73281,2010
7066,2.233858,34.15416,2010
7067,0.8445032,32.98068,2010
7068,-0.2247592,24.74424,2010
7069,-0.0123533,33.79461,2010
7070,0.6326632,20.83933,2010
7071,0.4980354,55.67225,2010
7072,0.9771948,33.37088,2010
7073,0.4646112,30.82648,2010
7074,-0.7985452,38.42942,2010
7075,0.9178931,21.74696,2010
7076,1.07236,45.98007,2010
7077,0.9993343,36.08544,2010
7078,-0.0952006,44.00996,2010
7079,0.0831154,33.62371,2010
7080,0.5133684,26.6235,2010
7081,0.9682571,37.33032,2010
7082,2.841366,31.15983,2010
7083,0.195256,40.50219,2010
7084,0.0285256,18.15251,2010
7085,-0.0027198,12.5154,2010
7086,-0.3723773,35.44785,2010
7087,0.6485246,57.50799,2010
7088,0.6219354,19.64206,2010
7089,-0.4116004,40.8181,2010
7090,0.6249364,40.20869,2010
7091,-0.1249683,34.74117,2010
7092,0.4036721,39.90985,2010
7093,1.398683,18.78911,2010
7094,1.167205,38.32531,2010
7096,1.278457,55.50174,2010
7097,-0.4184776,30.98447,2010
7098,0.5254942,23.01176,2010
7099,0.6000557,43.92118,2010
7100,1.504456,45.95404,2010
7101,-1.139881,39.60829,2010
7102,0.0984902,45.36132,2010
7103,0.3506223,43.33085,2010
7104,0.2441429,28.03912,2010
7105,-0.0595929,37.97289,2010
7106,0.3192836,40.04173,2010
7107,0.3635833,53.23657,2010
7108,-0.1394267,44.16841,2010
7109,1.192766,38.21559,2010
7110,0.6910215,23.00267,2010
7111,2.107113,32.02335,2010
7112,2.423237,66.58396,2010
7113,1.347335,10.74527,2010
7114,0.5993121,31.46627,2010
7115,1.392196,21.50031,2010
7116,0.741556,32.32549,2010
7117,0.5266842,39.82609,2010
7118,1.011972,19.55996,2010
7119,1.245965,10.16949,2010
8001,-1.04607,20.89552,2010
8002,-1.296875,13.86423,2010
8003,-1.159036,51.8611,2010
8004,-1.472426,11.34918,2010
8005,-0.5808039,49.64755,2010
8006,-0.788862,20.66212,2010
8007,2.331849,62.47737,2010
8008,4.246789,42.55675,2010
8009,0.8221666,46.94431,2010
8010,-0.921299,28.64867,2010
8011,-1.426921,21.53729,2010
8012,2.933815,54.32632,2010
8013,-0.9102117,32.0204,2010
8014,-1.107511,27.53941,2010
8015,-0.3808767,15.64545,2010
8016,-1.403558,16.223,2010
8017,-1.292799,27.45491,2010
8018,-0.44405,31.40007,2010
8019,-1.752065,15.6242,2010
8020,2.326524,25.09181,2010
8021,-1.558595,19.35477,2010
8022,-0.9857401,16.52353,2010
8023,-0.7130681,47.7427,2010
8024,-1.246968,15.77343,2010
8025,-1.212681,11.57236,2010
8026,-0.9545426,11.43658,2010
8027,2.555043,36.48292,2010
8028,-0.8556111,29.66863,2010
8029,2.894508,39.55027,2010
8030,2.088995,28.93977,2010
8031,-0.4992099,34.96442,2010
8032,-1.574975,19.74856,2010
8033,-0.3345453,18.11249,2010
8034,-1.086896,12.64782,2010
8035,-0.234447,50.59801,2010
