CLAVE,irs_value,i_sdsalud,irs_wave
7112,2.950748,16.751871,2020
7113,1.686595,13.915094,2020
7114,0.410454,49.59539,2020
7115,1.64563,13.273073,2020
7116,0.85034,20.338194,2020
7117,0.635521,13.195435,2020
7118,1.694751,16.057549,2020
7119,1.868427,7.118371,2020
7120,1.136283,8.968714,2020
7121,1.696329,25.303969,2020
7122,-0.126434,32.969783,2020
7123,-0.071234,36.900677,2020
7124,0.341719,35.727764,2020
7125,0.825837,14.360515,2020
8001,-0.819982,15.428767,2020
8002,-1.174008,7.951012,2020
8003,-0.982017,17.815483,2020
8004,-1.168073,21.438547,2020
8005,-0.676733,31.920438,2020
8006,-0.592165,12.881006,2020
8007,3.329732,14.568127,2020
8008,6.827093,12.724046,2020
8009,0.922968,11.733973,2020
8010,-0.807769,20.905909,2020
8011,-1.148985,14.155842,2020
8012,3.492768,19.696783,2020
8013,-0.850455,23.842573,2020
8014,-0.871124,10.766962,2020
8015,-0.458541,6.260163,2020
8016,-1.00446,10.205184,2020
8017,-1.090677,13.12127,2020
8018,-0.317614,11.943518,2020
8019,-1.386087,10.907949,2020
8020,1.901284,12.262938,2020
8021,-1.27883,13.242661,2020
8022,-0.383432,7.69544,2020
8023,-0.604243,33.653846,2020
8024,-0.855143,10.18201,2020
8025,-0.922168,7.674783,2020
8026,-0.72976,8.210784,2020
8027,2.944131,15.647668,2020
8028,-0.918094,14.208166,2020
8029,3.264541,14.140634,2020
8030,1.85595,16.093216,2020
8031,-0.386209,15.733093,2020
8032,-1.239709,11.90019,2020
8033,-0.505817,5.097087,2020
8034,-0.809208,8.622017,2020
8035,-0.302702,26.069968,2020
8036,-1.103903,12.516214,2020
8037,-1.266366,18.598499,2020
8038,-0.815055,7.710843,2020
8039,-0.833833,5.701116,2020
8040,-0.631036,12.726694,2020
8041,3.294234,4.6851,2020
8042,-0.275021,5.602716,2020
8043,-0.65573,13.202042,2020
8044,-0.855228,7.904497,2020
8045,-1.021442,15.05362,2020
8046,3.410274,30.044041,2020
8047,0.484097,32.426355,2020
8048,-0.863307,15.427968,2020
8049,0.506444,10.047153,2020
8050,-1.238021,19.018144,2020
8051,0.24412,25.150732,2020
8052,-1.041172,16.091954,2020
8053,-0.733587,17.256897,2020
8054,-0.362099,11.51397,2020
8055,-1.012485,12.947067,2020
8056,-0.465483,16.065416,2020
8057,-0.130073,6.690942,2020
8058,-0.899751,4.636499,2020
8059,-1.010303,3.796962,2020
8060,-1.05935,7.054049,2020
8061,-0.541415,8.260105,2020
8062,-1.096387,14.265622,2020
8063,0.194904,13.157895,2020
8064,-0.339039,17.265193,2020
8065,3.89139,18.253829,2020
8066,3.175966,16.124079,2020
8067,-0.686369,11.560209,2020
9002,-1.391197,20.909059,2020
9003,-1.451144,26.196075,2020
9004,-1.278397,24.256498,2020
9005,-1.30486,25.644671,2020
9006,-1.386912,27.209627,2020
9007,-1.244697,32.405368,2020
9008,-1.26263,27.501595,2020
9009,-0.849953,30.14638,2020
9010,-1.321042,24.678023,2020
9011,-1.182614,27.272357,2020
9012,-1.266801,28.727241,2020
9013,-1.084835,31.082731,2020
9014,-1.550066,20.084394,2020
9015,-1.407415,28.174484,2020
9016,-1.424851,19.231549,2020
9017,-1.361456,28.208445,2020
10001,-0.885814,26.661156,2020
10002,0.676833,17.981949,2020
10003,-0.585558,16.013712,2020
10004,-0.907548,26.156487,2020
10005,-1.252476,25.189016,2020
10006,-0.510272,24.576609,2020
10007,-1.198614,21.032596,2020
10008,-1.081443,41.256302,2020
10009,0.417251,29.334279,2020
10010,-0.910842,14.285714,2020
10011,-0.677768,17.628475,2020
10012,-1.120294,25.034749,2020
10013,-0.749637,26.60404,2020
10014,5.1575,23.360023,2020
10015,-0.806273,21.48286,2020
10016,-0.855361,30.020986,2020
10017,-0.706336,14.344621,2020
10018,-0.93605,19.038906,2020
10019,0.79194,21.689683,2020
10020,-1.040475,36.441214,2020
10021,-0.760538,21.14589,2020
10022,-0.910067,29.614019,2020
10023,0.392051,29.944021,2020
10024,-0.979057,26.337962,2020
10025,-0.316012,11.138527,2020
10026,0.13648,25.94473,2020
10027,-0.272207,24.814321,2020
10028,-0.864927,16.95663,2020
10029,-0.774887,17.261056,2020
10030,-0.759272,24.004899,2020
10031,-0.924022,20.663,2020
10032,-0.670823,27.776536,2020
10033,-0.388368,32.615296,2020
10034,1.421833,21.977186,2020
10035,0.035067,23.343294,2020
10036,-0.901634,22.414038,2020
10037,0.392295,42.76824,2020
10038,-1.177611,44.735049,2020
10039,-0.803432,33.679997,2020
11001,-0.540405,18.197523,2020
11002,-0.842175,20.624304,2020
11003,-0.607835,35.471179,2020
11004,-0.697684,21.054707,2020
11005,-0.743184,21.626528,2020
11006,0.816765,15.067976,2020
11007,-1.12077,24.239546,2020
11008,-0.493599,16.658584,2020
11009,-0.205953,21.071324,2020
11010,-0.599197,16.403501,2020
11011,-0.884588,20.357814,2020
11012,-0.63918,22.108436,2020
11013,-0.545608,16.918583,2020
11014,-0.432231,23.891976,2020
11015,-1.030786,14.297172,2020
11016,-0.671679,10.597312,2020
11017,-1.038608,18.935902,2020
11018,-0.843632,14.547986,2020
11019,-0.247495,15.255367,2020
11020,-1.054585,22.182238,2020
11021,-0.923447,22.517509,2020
11022,-0.364146,21.131031,2020
11023,-0.463296,18.902297,2020
11024,-0.701691,17.390954,2020
11025,-0.718131,22.328904,2020
11026,-0.57924,12.504942,2020
11027,-1.056396,16.467155,2020
11028,-0.73253,13.961073,2020
11029,-0.144878,16.453939,2020
11030,-0.253882,17.607039,2020
11031,-0.751296,24.516509,2020
11032,-0.930426,19.621921,2020
11033,-0.402081,24.940873,2020
11034,-0.003255,11.130526,2020
11035,-0.594873,21.627399,2020
11036,-0.735575,13.836759,2020
11037,-0.780484,14.32284,2020
11038,-0.746019,17.179759,2020
11039,-0.627255,12.209999,2020
11040,0.325468,20.677763,2020
11041,-0.830709,21.093115,2020
11042,-0.676837,21.354979,2020
11043,0.091415,15.771891,2020
11044,-0.995057,16.745452,2020
11045,0.44792,4.765324,2020
11046,-0.50204,19.183602,2020
12001,-0.580997,27.954657,2020
12002,1.658613,16.060305,2020
12003,0.846409,35.931483,2020
12004,2.072817,15.797409,2020
12005,-0.133817,16.024574,2020
12006,0.207002,28.599712,2020
12007,-0.18522,30.336369,2020
12008,0.628686,13.632885,2020
12009,3.055902,11.048012,2020
12010,2.34953,11.775648,2020
12011,0.031814,23.968359,2020
12012,1.604785,16.823633,2020
12013,0.514385,30.160938,2020
12014,-0.436513,27.956223,2020
12015,-0.613283,21.529811,2020
12016,1.847462,5.359446,2020
12017,-0.014041,37.743116,2020
12018,0.17581,23.045011,2020
12019,2.749238,12.161816,2020
12020,2.546531,14.065965,2020
12021,0.151475,25.895204,2020
12022,0.712881,33.838253,2020
12023,0.354782,20.666992,2020
12024,0.665699,10.998222,2020
12025,1.069738,22.174577,2020
12026,1.24265,37.753868,2020
12027,0.209761,46.720553,2020
12028,1.411,25.412619,2020
12029,-0.579304,27.445175,2020
12030,0.228375,25.213483,2020
12031,0.782896,39.136668,2020
12032,1.6752,20.800451,2020
12033,-0.225142,21.346066,2020
12034,0.383238,13.969885,2020
12035,-0.484134,29.791209,2020
12036,0.954925,25.078797,2020
12037,0.211931,17.02509,2020
12038,-0.671834,24.153777,2020
12039,-0.07409,22.918024,2020
12040,0.56019,19.789809,2020
12041,2.079635,19.848101,2020
12042,1.13742,23.977865,2020
12043,2.911277,7.858317,2020
12044,0.199186,17.537494,2020
12045,1.810943,19.630176,2020
12046,0.6477,29.387013,2020
12047,2.12233,10.641605,2020
12048,-0.205994,28.710495,2020
12049,-0.113681,30.965263,2020
12050,-0.586999,47.591082,2020
12051,0.924252,20.692804,2020
12052,2.228403,20.300411,2020
12053,0.6156,27.270369,2020
12054,1.889224,20.493807,2020
12055,-0.225229,19.355786,2020
12056,0.800443,22.145757,2020
12057,-0.006518,27.426154,2020
12058,0.209592,28.438969,2020
12059,0.522841,20.122703,2020
12060,0.352859,19.273908,2020
12061,0.407787,26.05916,2020
12062,2.291287,28.444757,2020
12063,2.858437,4.766151,2020
12064,-0.184517,33.618697,2020
12065,0.760751,20.810313,2020
12066,0.49729,28.386996,2020
12067,-0.028733,43.279751,2020
12068,-0.002655,22.114691,2020
12069,2.0646,12.961725,2020
12070,0.242333,15.873823,2020
12071,2.343437,12.120705,2020
12072,2.48207,6.056315,2020
12073,0.800867,34.412955,2020
12074,1.720882,22.537198,2020
12075,0.099217,25.887513,2020
12076,3.197062,8.097619,2020
12077,0.278664,27.268908,2020
12078,4.998727,18.087661,2020
12079,2.992723,15.418095,2020
12080,0.763133,24.06403,2020
12081,1.820274,23.186917,2020
13001,-0.301684,44.000359,2020
13002,0.711946,35.703897,2020
13003,-0.870466,36.66929,2020
13004,0.026182,33.123243,2020
13005,-0.671084,34.235905,2020
13006,-0.308831,34.030894,2020
13007,-0.552404,21.377331,2020
13008,-0.931588,29.410253,2020
13009,-0.62489,36.080863,2020
13010,-1.045802,26.29659,2020
13011,0.3984,15.88936,2020
13012,-0.342797,33.280239,2020
13013,-1.155127,27.736514,2020
13014,0.189925,19.900929,2020
13015,-0.249766,27.600226,2020
13016,-0.435984,40.888102,2020
13017,0.013213,30.546773,2020
13018,-0.018166,19.717941,2020
13019,-0.313465,33.476122,2020
13020,-0.311282,20.516776,2020
13021,-0.997424,25.568369,2020
13022,-0.764795,35.584894,2020
13023,-0.883003,29.33955,2020
13024,-0.426784,34.264781,2020
13025,0.78261,14.453635,2020
13026,0.520875,9.893467,2020
13027,1.252039,12.667425,2020
13028,0.05702,18.692864,2020
13029,-0.678922,28.362678,2020
13030,-0.665575,37.693353,2020
13031,-0.31712,13.52319,2020
13032,0.310417,10.795401,2020
13033,-0.174996,25.492228,2020
13034,0.147607,17.954402,2020
13035,-0.534641,44.257532,2020
13036,-0.550105,32.543126,2020
13037,-0.02479,33.384219,2020
13038,-0.118335,36.258166,2020
13039,-0.945139,35.862887,2020
13040,0.550946,11.661065,2020
13041,-0.874137,27.027657,2020
13042,-0.268152,14.639834,2020
13043,0.180269,17.653631,2020
13044,-0.241193,25.991267,2020
13045,-0.60085,37.708445,2020
13046,0.203505,23.223007,2020
13047,0.287127,28.727885,2020
13048,-1.264186,31.636396,2020
13049,0.170309,16.509106,2020
13050,-0.939745,32.460556,2020
13051,-1.362099,29.261797,2020
13052,-0.731581,39.713558,2020
13053,1.442699,10.480818,2020
13054,-0.720619,28.986846,2020
13055,-0.504788,25.495117,2020
13056,-0.928801,38.18407,2020
13057,-0.456636,47.331924,2020
13058,-0.435302,30.703515,2020
13059,-0.285522,25.056564,2020
13060,0.203736,12.534994,2020
13061,-1.190125,27.91537,2020
13062,1.069416,7.389147,2020
13063,-0.803785,26.01661,2020
13064,-0.441794,25.309326,2020
13065,-0.834356,32.936778,2020
13066,-1.036207,44.34469,2020
13067,-0.626687,32.571553,2020
13068,0.825744,17.517434,2020
13069,-1.245231,35.172488,2020
13070,-0.851029,34.13227,2020
13071,0.406312,19.480519,2020
13072,-1.115615,27.202376,2020
13073,0.373288,9.225386,2020
13074,-0.857315,39.128764,2020
13075,-1.086146,33.381706,2020
13076,-1.012403,27.079152,2020
13077,-0.938734,44.67984,2020
13078,1.49385,9.07448,2020
13079,-0.107903,18.360656,2020
13080,1.194312,11.518197,2020
13081,-0.603229,39.289739,2020
13082,-0.973141,42.055683,2020
13083,-1.179373,36.065347,2020
13084,-0.550162,37.608636,2020
14001,-0.788597,34.360302,2020
14002,-1.116235,25.093069,2020
14003,-1.192017,22.01862,2020
14004,-0.84086,25.213303,2020
14005,-1.149719,30.818678,2020
14006,-1.089717,22.99374,2020
14007,-1.031135,15.117142,2020
14008,-0.905326,39.929785,2020
14009,-1.139195,29.197253,2020
14010,-0.401685,49.806651,2020
14011,-0.561734,24.7187,2020
14012,-0.903461,13.769157,2020
14013,-0.886297,28.341327,2020
14014,-0.564898,23.086661,2020
14015,-1.024138,18.422633,2020
14016,-0.709515,49.901328,2020
14017,-0.888539,24.759317,2020
14018,-0.911828,32.715604,2020
14019,2.413635,16.612239,2020
14020,-0.356114,19.159049,2020
14021,-0.743008,13.149698,2020
14022,-0.760205,28.819851,2020
14023,-1.192947,21.004681,2020
14024,-0.987616,24.563502,2020
14025,-1.117514,27.23856,2020
14026,-0.743997,23.208083,2020
14027,0.699831,15.977137,2020
14028,-0.548397,13.804247,2020
14029,-0.62226,26.61055,2020
14030,-1.15721,44.149938,2020
14031,0.753031,36.238532,2020
14032,-0.478103,18.084573,2020
14033,-0.81233,55.818336,2020
14034,-0.718981,17.364967,2020
14035,-0.910991,33.58095,2020
14036,-1.15281,20.103943,2020
14037,-1.071568,24.915123,2020
14038,-0.711614,28.006668,2020
14039,-1.3417,29.504579,2020
14040,-0.626644,17.338525,2020
14041,-0.982872,32.483108,2020
14042,-0.29225,18.122816,2020
14043,-0.697538,19.219193,2020
14044,-0.967437,30.880254,2020
14045,-0.800359,41.856829,2020
14046,-1.0013,43.013648,2020
14047,-0.917348,29.071262,2020
14048,-0.618624,47.250026,2020
14049,-0.209476,38.67374,2020
14050,-0.809552,40.791848,2020
14051,-1.106803,27.713499,2020
14052,-0.879399,18.521865,2020
14053,-0.969389,25.419511,2020
14054,-0.945314,14.754098,2020
14055,-1.048355,18.337083,2020
14056,0.59893,13.774105,2020
14057,-0.943604,36.15516,2020
14058,-1.036579,20.047056,2020
14059,-0.919131,36.594745,2020
14060,-0.687099,13.378557,2020
14061,4.606749,10.360911,2020
14062,-0.78814,25.75591,2020
14063,-1.015214,23.497407,2020
14064,-0.558481,26.318923,2020
14065,-0.54165,24.942912,2020
14066,-0.693105,32.73449,2020
14067,-1.155159,25.982134,2020
14068,-0.500468,22.224188,2020
14069,-0.374447,45.13835,2020
14070,-0.962645,33.34092,2020
14071,-0.519897,39.363885,2020
14072,-0.793198,25.824681,2020
14073,-0.967635,33.227191,2020
14074,-0.951708,37.595283,2020
14075,-0.862545,22.553416,2020
14076,-0.143902,15.024233,2020
14077,-1.042209,33.033236,2020
14078,-0.869247,36.615048,2020
14079,-0.782514,25.238878,2020
14080,-0.561166,15.670468,2020
14081,-0.63791,20.540541,2020
14082,-1.024692,22.728984,2020
14083,-0.983211,24.212567,2020
14084,-0.695555,19.590585,2020
14085,-0.800524,18.68823,2020
14086,-0.674082,48.900918,2020
14087,-0.594673,22.633942,2020
14088,-0.951887,18.376197,2020
14089,-0.782976,7.490177,2020
14090,-1.039056,25.403999,2020
14091,-0.887725,34.496348,2020
14092,-0.740623,24.694266,2020
14093,-1.085521,28.487249,2020
14094,-0.994939,31.957252,2020
14095,-1.027886,18.181818,2020
14096,-0.704221,50.659109,2020
14097,-1.183862,28.901683,2020
14098,-1.190253,29.74894,2020
14099,-0.305543,23.674124,2020
14100,-0.432989,16.799758,2020
14101,-1.182097,35.392595,2020
14102,-1.012064,20.533468,2020
14103,-0.914865,16.655651,2020
14104,-0.720268,22.009569,2020
14105,-0.834486,28.099945,2020
14106,-0.369871,13.735863,2020
14107,-0.821936,39.838854,2020
14108,-0.854231,20.893971,2020
14109,-0.600489,32.670827,2020
14110,-1.017756,25.255453,2020
14111,-0.979512,29.666516,2020
14112,-0.797788,50.105674,2020
14113,-0.656669,23.029973,2020
14114,-0.894107,24.628862,2020
14115,-0.1137,22.769231,2020
14116,-1.053785,53.096376,2020
14117,-0.522863,20.23701,2020
14118,-0.817356,24.872734,2020
14119,-0.788164,31.980179,2020
14120,-1.272576,27.520046,2020
14121,-0.952425,25.236556,2020
14122,-0.134613,23.62711,2020
14123,-0.768457,32.107474,2020
14124,-0.939527,51.566213,2020
14125,-0.809672,46.262472,2020
15001,0.232584,30.883133,2020
15002,-1.016887,34.030098,2020
15003,0.077221,22.814923,2020
15004,-0.114168,26.785365,2020
15005,-0.175501,39.938254,2020
15006,-0.810396,28.115645,2020
15007,0.252554,31.328405,2020
15008,0.052734,10.739186,2020
15009,-0.845984,35.570068,2020
15010,-1.008782,38.94288,2020
15011,-0.806248,35.423704,2020
15012,-0.674769,36.806839,2020
15013,-1.305154,29.418302,2020
15014,-0.494635,36.70738,2020
15015,-0.3193,34.667712,2020
15016,-0.729046,29.851002,2020
15017,-0.964372,32.527604,2020
15018,-1.049318,31.764225,2020
15019,-0.985248,38.352157,2020
15020,-1.463503,27.058655,2020
15021,-0.00986,20.340036,2020
15022,-0.956612,26.583703,2020
15023,-0.925627,33.760548,2020
15024,-1.418401,25.856738,2020
15025,-0.946757,40.07354,2020
15026,-0.03388,28.940984,2020
15027,-1.082111,19.644535,2020
15028,-1.010488,33.103678,2020
15029,-1.212614,35.307597,2020
15030,-1.041196,41.412682,2020
15031,-0.897422,43.706475,2020
15032,0.960216,23.007266,2020
15033,-1.217934,35.515318,2020
15034,-0.210484,25.630369,2020
15035,-1.186174,26.579231,2020
15036,-0.707284,43.379601,2020
15037,-1.232901,31.407015,2020
15038,-0.678086,21.334563,2020
15039,-1.147348,35.196077,2020
