CLAVE,irs_value,i_sdsalud,irs_wave
1001,-1.365841,14.156,2015
1002,-0.8839154,5.5355,2015
1003,-0.9794567,9.7524,2015
1004,-1.062688,5.1165,2015
1005,-1.18862,13.8341,2015
1006,-1.19741,10.0661,2015
1007,-1.132335,10.3999,2015
1008,-0.9908752,5.643,2015
1009,-0.9574581,8.1717,2015
1010,-0.7765682,8.5898,2015
1011,-1.177992,11.7363,2015
2001,-0.9831591,13.8378,2015
2002,-1.337319,15.4809,2015
2003,-1.096466,11.4612,2015
2004,-1.262087,21.1988,2015
2005,-1.039314,19.1897,2015
3001,-0.7766185,8.9356,2015
3002,-0.6348971,8.6919,2015
3003,-1.235326,12.6713,2015
3008,-0.9263267,16.8373,2015
3009,-0.895973,10.4008,2015
4001,-0.4427705,10.1739,2015
4002,-1.236793,9.974,2015
4003,-0.9792122,16.3083,2015
4004,-0.4661751,10.8761,2015
4005,-0.4039769,14.9856,2015
4006,0.2156605,13,2015
4007,-0.4700037,4.7152,2015
4008,-0.3995039,5.6259,2015
4009,-0.4276769,8.3941,2015
4010,0.5419523,7.6625,2015
4011,0.6112309,11.5272,2015
5001,-1.124767,12.4138,2015
5002,-1.165139,10.7111,2015
5003,-1.345584,7.076,2015
5004,-0.9384407,16.325,2015
5005,-0.8779759,17.1512,2015
5006,-1.217772,8.5293,2015
5007,-0.7670898,4.7468,2015
5008,-0.9391384,15.9571,2015
5009,-1.032963,12.0631,2015
5010,-1.35771,9.4344,2015
5011,-0.798062,6.5111,2015
5012,-0.7877843,21.0961,2015
5013,-0.9170824,36.23,2015
5014,-0.500865,16.1964,2015
5015,-1.017836,9.7205,2015
5016,-1.163064,10.2087,2015
5017,-1.114937,19.5539,2015
5018,-1.458383,10.0438,2015
5019,-1.223348,7.3497,2015
5020,-1.101559,7.1199,2015
5021,-1.269309,7.4841,2015
5022,-1.166449,9.411,2015
5023,-0.5911992,11.7642,2015
5024,-0.9899291,9.4399,2015
5025,-1.282565,13.4497,2015
5026,-0.9697375,10.2603,2015
5027,-1.33646,11.4071,2015
5028,-1.306582,8.4648,2015
5029,-1.141362,11.3136,2015
5030,-1.459911,13.1141,2015
5031,-1.431665,12.0575,2015
5032,-1.286556,5.186,2015
5033,-0.9327253,12.683,2015
5034,-0.9906232,10.3606,2015
5035,-1.398126,21.0874,2015
5036,-0.6483,18.4556,2015
5037,-1.137138,9.7292,2015
5038,-1.098152,10.9753,2015
6001,-0.5065486,7.0171,2015
6002,-1.254225,13.66,2015
6003,-0.7822487,11.3535,2015
6004,-0.8544053,9.9663,2015
6005,-1.132027,6.8779,2015
6006,-0.6177498,3.2205,2015
6007,-1.143355,13.4187,2015
6008,-0.8336991,5.9989,2015
6009,-0.5466334,11.5325,2015
6010,-1.412324,12.6108,2015
7001,-0.0931324,17.6031,2015
7002,-0.0655516,9.2763,2015
7003,0.1864554,20.518,2015
7004,1.610056,15.4569,2015
7005,1.227605,4.7809,2015
7006,0.2149549,11.0731,2015
7007,2.067804,16.7759,2015
7008,0.4440958,10.5461,2015
7009,-0.4703591,13.504,2015
7010,0.9410661,7.0056,2015
7011,0.5809582,5.6896,2015
7012,0.0919942,23.8892,2015
7013,0.5045366,14.0526,2015
7014,1.288378,15.5136,2015
7015,-0.1038334,23.3803,2015
7016,0.0222447,7.7762,2015
7017,-0.2421246,15.6201,2015
7018,0.5013348,8.9468,2015
7019,-0.141032,13.6659,2015
7020,0.5014598,11.8263,2015
7021,0.0793259,11.6193,2015
7022,3.510462,16.6637,2015
7023,2.67514,20.627,2015
7024,2.30723,4.8272,2015
7025,0.5619064,11.1068,2015
7026,2.486086,19.1611,2015
7027,-0.3805625,18.0078,2015
7028,0.2562161,9.4253,2015
7029,-0.3910374,13.22,2015
7030,0.3701836,11.4638,2015
7031,2.130635,16.3954,2015
7032,0.0005922,17.997,2015
7033,0.6382803,10.8748,2015
7034,-0.0324868,17.6439,2015
7035,0.1370546,24.3202,2015
7036,0.6378012,10.8828,2015
7037,0.2873737,22.9774,2015
7038,1.709217,8.0804,2015
7039,1.401355,6.9912,2015
7040,-0.0560829,21.7496,2015
7041,0.8566689,6.8566,2015
7042,0.2964882,5.9161,2015
7043,0.316883,19.1422,2015
7044,0.383158,13.9422,2015
7045,0.6088049,6.9836,2015
7046,-0.1208607,14.5874,2015
7047,0.5846514,28.8994,2015
7048,-0.3072451,11.6954,2015
7049,1.409879,12.4241,2015
7050,-0.3354157,38.2096,2015
7051,-0.1380946,21.3261,2015
7052,1.630467,14.8753,2015
7053,0.1901199,9.6538,2015
7054,0.3794031,15.4041,2015
7055,-0.3486876,25.7705,2015
7056,2.827205,9.8186,2015
7057,0.098087,17.338,2015
7058,0.3630776,7.9305,2015
7059,1.391229,17.0115,2015
7060,1.584553,15.0943,2015
7061,0.2380497,20.8191,2015
7062,0.3580237,7.3753,2015
7063,-0.4332246,15.9967,2015
7064,2.844589,11.2538,2015
7065,0.0938519,16.4822,2015
7066,2.647637,17.0233,2015
7067,1.048603,9.1546,2015
7068,-0.0671034,10.0363,2015
7069,-0.0213769,22.5633,2015
7070,0.4315075,2.691,2015
7071,0.2177665,19.8267,2015
7072,1.171873,9.1604,2015
7073,0.7715193,7.3919,2015
7074,-0.8966529,15.7746,2015
7075,1.245437,10.8312,2015
7076,1.530645,8.3206,2015
7077,0.9626971,12.7809,2015
7078,-0.2878748,26.097,2015
7079,0.1005947,17.3324,2015
7080,0.5462962,6.5413,2015
7081,1.498185,14.6947,2015
7082,3.479643,13.0526,2015
7083,0.1896483,11.9586,2015
7084,0.525436,6.6568,2015
7085,0.1660775,3.6331,2015
7086,-0.2809784,14.0588,2015
7087,0.3521114,33.8377,2015
7088,0.2436631,6.3951,2015
7089,-0.641123,24.6177,2015
7090,0.5336048,11.7218,2015
7091,-0.0887672,4.7334,2015
7092,0.3752988,13.3325,2015
7093,1.684412,8.7927,2015
7094,1.248735,15.5924,2015
7096,1.472198,16.925,2015
7097,-0.4700334,14.6303,2015
7098,0.7494017,11.0653,2015
7099,0.6210275,12.6383,2015
7100,1.741653,13.7502,2015
7101,-1.081858,23.039,2015
7102,0.0266746,20.0799,2015
7103,0.0873669,20.9605,2015
7104,0.2326338,7.3453,2015
7105,-0.0131677,19.101,2015
7106,0.3029624,13.835,2015
7107,0.2323352,14.9285,2015
7108,-0.2279344,15.0096,2015
7109,1.416208,16.7446,2015
7110,0.7002825,5.1097,2015
7111,2.143315,16.1096,2015
